Title,Artist,BPM,Key,Genre,Album,Grouping,Date Added,Location,Comment,Year,Overall Volume,Energy,CuePoints,ClippedPeaks
CITY OF ROSES (ft. TAOG) / M4 Drifting,2Scratch,98,9A,,,,12/19/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs From Spotify\Songs From Spotify Fixed\2 Scratch feat TAOG - CITY OF ROSES_pn.mp3,9A - Energy 4 - www.mediahuman.com,,-12.9 dB,4,8,0
Shes Everything,Brad Paisley,106,8B,Country,Time Well Wasted,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Brad Paisley - She's Everything_pn.mp3,8B - Energy 4,2005,-13.0 dB,4,4,0
abcdefu - The Wild Remix,GAYLE,124,12B,House,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\GAYLE - abcdefu - The Wild Remix_pn.mp3,12B - Energy 7,2022,-12.8 dB,7,7,0
"DJ Drama ""4What"" feat. Jeezy, Yo Gotti, & Juicy J",,145,6A,Other,,,10/28/2023,"C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\DJ Drama 4What feat. Jeezy, Yo Gotti, & Juicy J_pn.mp3",6A - Energy 7 - www.mediahuman.com,,-13.0 dB,7,8,0
Berzerk (Intro Dirty),Eminem,95,8A,Hip Hop,,,1/22/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\DJ Songs Unsorted Sound Fixed\Eminem - Berzerk (Intro Dirty)_pn.mp3,8A - Energy 8,2013,-12.9 dB,8,8,0
China Girl                    ,David Bowie                   ,135,9A,Soundtrack,,,1/22/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\80's Songs From Hard Drive Sound Fixed\David Bowie - China Girl_pn.mp3,9A - Energy 6,,-13.0 dB,6,8,0
5500 Degrees (Intro Dirty),"EST Gee ft Lil Baby, 42 Dugg & Rylo Rodriguez",98,6A,Hip Hop,,,10/28/2023,"C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\EST Gee ft Lil Baby, 42 Dugg & Rylo Rodriguez - 5500 Degrees (Intro Dirty)_pn.mp3",6A - Energy 6,2021,-12.9 dB,6,6,0
Mi Gna  ft. Hayko  █▬█ █ ▀█▀,Super Sako,92,2A,,,,2/25/2024,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs Fixed\Super Sako - Mi Gna  ft. Hayko  █▬█ █ ▀█▀_pn.mp3,2A - Energy 6 - www.mediahuman.com,,-13.2 dB,6,4,0
Release (Feat. Justin Timberlake),Timbaland,124,6A,Hip-Hop,Presents: Shock Value,,1/22/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs From Old Hard Drive Sounds Fixed\Timbaland Ft Justin Timberlake - Release_pn.mp3,6A - Energy 7,2007,-13.2 dB,7,8,0
Floating Through Space (DJcity Intro),Sia & David Guetta,105,11A,Pop,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Sia & David Guetta - Floating Through Space (Intro)_pn.mp3,11A - Energy 7,2021,-12.8 dB,7,5,0
Marshall Mathers,Eminem,96,9A,Hip Hop,The Marshall Mathers LP,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Eminem - Marshall Mathers_pn.mp3,9A - Energy 6 - http://mp3.grammy.ru,2000,-12.9 dB,6,8,0
if we never met (remix (Audio)),Sigala & John K,115,4B,,,,12/14/2024,C:\Users\jaymo\Desktop\Dj Songs Unsorted\nick megha cocktail hour (fixed)\Sigala & John K - if we never met (remix (Audio))_pn.mp3,4B - Energy 5 - www.mediahuman.com,,-11.5 dB,5,8,0
Fiona,Kalu,110,10B,,,,12/3/2024,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs Fixed\Kalu - Fiona_pn.mp3,10B - Energy 6 - www.mediahuman.com,,-13.3 dB,6,7,0
Infinity (DubDogz & Bhaskar Edit),DubDogz & Bhaskar,124,8A,,,,12/19/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs From Spotify\Songs From Spotify Fixed\DubDogz & Bhaskar - Infinity (DubDogz & Bhaskar Edit)_pn.mp3,8A - Energy 7 - www.mediahuman.com,,-13.2 dB,7,7,0
Party Jumpin',R.Kelly,152,5B,,Write Me Back (Deluxe Version),,12/29/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs Fixed\R.Kelly - Party Jumpin'_pn.mp3,5B - Energy 7 - www.mediahuman.com,2012,-13.1 dB,7,8,0
Majesty (Quick Hit Dirty),Nicki Minaj ft Eminem & Labrinth,157,10A,Hip Hop,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Nicki Minaj ft Eminem & Labrinth - Majesty (Quick Hit Dirty)_pn.mp3,10A - Energy 6,2018,-12.9 dB,6,5,0
Spectrum (Say My Name) - Sped Up,"Anthony Keyrouz, Florence Welch, Paul Epworth, Anthony Keyrouz, Florence Welch, Paul Epworth",136,5A,,Spectrum (Say My Name) - Sped Up,,6/25/2023,"C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs Fixed\Anthony Keyrouz, Florence Welch, Paul Epworth, Anthony Keyrouz, Florence Welch, Paul Epworth - Spectrum (Say My Name) - Sped Up_pn.mp3",5A - Energy 7 - www.mediahuman.com,2023,-12.8 dB,7,6,0
Work (Intro Dirty),Rihanna ft Drake,115,1B,Hip Hop,,,1/22/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\DJ Songs Unsorted Sound Fixed\Rihanna ft Drake - Work (Intro Dirty)_pn.mp3,1B - Energy 5,2016,-13.2 dB,5,8,0
Stay Schemin [Intro Dirty],Rick Ross ft Drake and French Montana,81,6A,Hip Hop,BPMsupreme.com,www.BPMsupreme.com,1/22/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\DJ Songs Unsorted Sound Fixed\Stay Schemin [Intro Dirty]_pn.mp3,6A - Energy 6 - BPMsupreme.com,,-12.7 dB,6,8,0
Walking On A Dream (Extended),Empire Of The Sun,128,4A,Top 40,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Empire Of The Sun - Walking On A Dream (Extended)_pn.mp3,4A - Energy 5 - For Promtional Use Only By: www.bpmsupreme.com,,-12.8 dB,5,8,0
God's Plan (BPM Supreme 100-77 Transition) (Dirty) (Extended),Drake,100,8A,Hip Hop,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Drake - God's Plan (BPM Supreme 100-77 Transition) (Dirty) (Extended)_pn.mp3,8A - Energy 4,2018,-13.1 dB,4,3,0
PA PA PA (Muzik Junkies Remix) (Clean Extended),"Cornetto, Matt Paris & IAmChino ft Muzik Junkies",128,11A,Latin Pop,,,10/25/2023,"C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs Fixed\Cornetto, Matt Paris & IAmChino ft Muzik Junkies - PA PA PA (Muzik Junkies Remix) (Clean Extended)_pn.mp3",11A - Energy 6,2023,-12.8 dB,6,8,0
Pursuit Of Happiness (Nightmare) (Intro Dirty),Kid Cudi ft Ratatat & MGMT,116,8A,Hip Hop,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Kid Cudi ft Ratatat & MGMT - Pursuit Of Happiness (Nightmare) (Intro Dirty)_pn.mp3,8A - Energy 7,2009,-12.8 dB,7,8,0
In The Dark (Club Mix) (Clean Extended),"Purple Disco Machine, Sophie & The Giants",116,11A,Nu Disco,,,2/8/2022,"C:\Users\jaymo\Desktop\Dj Songs Unsorted\80's Songs From Hard Drive Sound Fixed\Purple Disco Machine, Sophie & The Giants - In The Dark (Club Mix) (Clean Extended)_pn.mp3",11A - Energy 7,2022,-13.0 dB,7,8,0
Million Voices (Clean Extended),Otto Knows,126,5B,Progressive House,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Otto Knows - Million Voices (Clean Extended)_pn.mp3,5B - Energy 8,2019,-12.8 dB,8,8,0
Wonderwall (Quick Hit Clean),Oasis,87,11B,Rock,,,1/22/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\DJ Songs Unsorted Sound Fixed\Oasis - Wonderwall (Quick Hit Clean)_pn.mp3,11B - Energy 6,1995,-12.9 dB,6,8,0
BUTTERFLY EFFECT,Travis Scott,141,12A,,,,12/19/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs From Spotify\Songs From Spotify Fixed\Travis Scott - BUTTERFLY EFFECT_pn.mp3,12A - Energy 6 - www.mediahuman.com,,-12.9 dB,6,7,0
Stomp Ft. T.I. & Ludacris,Young Buck,80,9A,Hip-Hop,Straight Outta Cashville ,,10/28/2023,"C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Young Buck Ft. T.I., Ludacris - Stomp_pn.mp3",9A - Energy 6 - So we rock!,2004,-12.8 dB,6,6,0
Your Song,Rita Ora,118,3B,Other,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Rita Ora - Your Song_pn.mp3,3B - Energy 6 - www.mediahuman.com,,-13.3 dB,6,3,0
Bailando,Paradisio,133,1A,,,,1/20/2025,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs Fixed\Paradisio - Bailando_pn.mp3,1A - Energy 5 - www.mediahuman.com,,-11.2 dB,5,8,0
Successful (Intro Dirty),Drake ft Trey Songz & Lil Wayne,81,5A,Hip Hop,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Drake ft Trey Songz & Lil Wayne - Successful (Intro Dirty)_pn.mp3,5A - Energy 4,2008,-12.7 dB,4,8,0
What We Do,Jxggi & Sickboi,93,12A,,Breakin Boundaries,,3/8/2025,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs Fixed\Jxggi & Sickboi - What We Do_pn.mp3,12A - Energy 6 - www.mediahuman.com,2024,-11.2 dB,6,8,0
Maniac,Michael Sambello,79,2A,Other,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Michael Sambello - Maniac_pn.mp3,2A - Energy 7 - Energy 7                            ,,-13.2 dB,7,5,0
Rock My Body (LUNAX Remix),"R3HAB, INNA, Sash!",135,6A,Other,,,10/28/2023,"C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\R3HAB, INNA, Sash! - Rock My Body (LUNAX Remix)_pn.mp3",6A - Energy 9 - www.mediahuman.com,,-13.1 dB,9,7,0
Titanium (Intro Clean),David Guetta feat Sia,126,5A,Top 40 / Dance,BPMsupreme.com,www.bpmsupreme.com,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\David Guetta feat Sia - Titanium (Intro Clean)_pn.mp3,5A - Energy 7 - www.bpmsupreme.com,,-12.8 dB,7,8,0
"100 Shooters (Official Music Video) ft. Meek Mill, Doe Boy",Future,91,2A,Other,,,10/28/2023,"C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Future - 100 Shooters (Official Music Video) ft. Meek Mill, Doe Boy_pn.mp3",2A - Energy 6 - www.mediahuman.com,,-12.9 dB,6,8,0
Hundred Miles,Yall feat. Gabriela Richardson,98,6A,Other,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Yall feat. Gabriela Richardson - Hundred Miles_pn.mp3,6A - Energy 7 - www.mediahuman.com,,-13.3 dB,7,8,0
Dreamin Of Love (Intro Clean),Stevie B,120,8A,Freestyle,,,1/22/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\DJ Songs Unsorted Sound Fixed\Stevie B - Dreamin Of Love (Intro Clean)_pn.mp3,8A - Energy 7,1987,-13.0 dB,7,3,0
Come Get Her (J. Luquin Transition 128-93 BPM) (Dirty) (Short Edit),Rae Sremmurd,128,7A,Hip Hop,,www.bpmsupreme.com,1/22/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\DJ Songs Unsorted Sound Fixed\Rae Sremmurd - Come Get Her (J. Luquin Transition 128-93 BPM) (Dirty) (Short Edit)_pn.mp3,7A - Energy 5,,-12.7 dB,5,8,0
Roses (Imanbek Remix Latino Gang) (Dirty Extended),SAINt JHN & J Balvin,122,4A,Dance Pop,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\SAINt JHN & J Balvin - Roses (Imanbek Remix Latino Gang) (Dirty Extended)_pn.mp3,4A - Energy 6,2020,-13.0 dB,6,8,0
My Bad (Clean Radio Edit),The Chainsmokers & Shenseea,126,7A,Dance Pop,,,7/29/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs Fixed\The Chainsmokers & Shenseea - My Bad (Clean Radio Edit)_pn.mp3,7A - Energy 7,2023,-12.8 dB,7,6,0
Rain Feat. Tay Keith,Aitch x AJ Tracey,150,1A,,,,12/29/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs Fixed\Aitch x AJ Tracey - Rain Feat. Tay Keith_pn.mp3,1A - Energy 6 - www.mediahuman.com,,-12.9 dB,6,8,0
A Tear In Space (Airlock) | Official Video,Glass Animals,93,8A,,,,7/13/2024,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs Fixed\Glass Animals - A Tear In Space (Airlock) _ Official Video_pn.mp3,8A - Energy 6 - www.mediahuman.com,,-13.2 dB,6,6,0
Got Em Like (Intro Dirty),Juicy J ft Wiz Khalifa & Lil Peep,140,2A,Hip Hop,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Juicy J ft Wiz Khalifa & Lil Peep - Got Em Like (Intro Dirty)_pn.mp3,2A - Energy 7,2018,-12.8 dB,7,8,0
Youre Not Alone (Extended),ATB,135,6A,Dance,,www.bpmsupreme.com,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\ATB - Youre Not Alone (Extended)_pn.mp3,6A - Energy 6,,-12.7 dB,6,8,0
Faith,George Michael,96,1B,Blues,                              ,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\80's Songs From Hard Drive (Backup)\George Michael - Faith.mp3,1B - Energy 6                              ,,-14.8 dB,6,8,3668
"RITA ORA,  DAVID GUETTA, IMANBEK – BIG FT. GUNNA [OFFICIAL VIDEO]",,112,6A,,,,12/19/2022,"C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs From Spotify\Songs From Spotify Fixed\RITA ORA,  DAVID GUETTA, IMANBEK – BIG FT. GUNNA [OFFICIAL VIDEO]_pn.mp3",6A - Energy 7 - www.mediahuman.com,,-12.9 dB,7,7,0
NO BAD DAYS FEAT. COLLETT - OFFICIAL MUSIC VIDEO,MACKLEMORE,80,5A,Other,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\MACKLEMORE - NO BAD DAYS FEAT. COLLETT - OFFICIAL MUSIC VIDEO_pn.mp3,5A - Energy 6 - www.mediahuman.com,,-13.1 dB,6,5,0
Electric Feel,MGMT,103,5A,Other,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\MGMT - Electric Feel_pn.mp3,5A - Energy 6 - www.mediahuman.com,,-12.9 dB,6,8,0
In Da Club,50 Cent,90,12A,,Get Rich Or Die Tryin,,12/19/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs From Spotify\Songs From Spotify Fixed\50 Cent - In Da Club_pn.mp3,12A - Energy 5 - www.mediahuman.com,2003,-13.1 dB,5,7,0
D4L (Quick Hit Dirty),"Future, Drake & Young Thug",85,8A,Hip Hop,,,1/22/2022,"C:\Users\jaymo\Desktop\Dj Songs Unsorted\DJ Songs Unsorted Sound Fixed\Future, Drake & Young Thug - D4L (Quick Hit Dirty)_pn.mp3",8A - Energy 6,2020,-12.6 dB,6,6,0
Total Eclipese Of The Heart (Intro Clean),Nicki French,137,9B,Pop,,www.bpmsupreme.com,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Nicki French - Total Eclipese Of The Heart (Intro Clean)_pn.mp3,9B - Energy 7,1995,-12.9 dB,7,8,0
3 Malas,,125,7A,,,,3/30/2024,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs Fixed\3 Malas_pn.mp3,7A - Energy 6 - www.mediahuman.com,,-14.0 dB,6,8,0
Crash (Intro Dirty),Gwen Stefani,126,12A,Pop,,,1/22/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\DJ Songs Unsorted Sound Fixed\Gwen Stefani - Crash (Intro Dirty)_pn.mp3,12A - Energy 7,2006,-12.8 dB,7,4,0
Rain Over Me ft. Marc Anthony,Pitbull,128,8A,,,,12/19/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs From Spotify\Songs From Spotify Fixed\Pitbull - Rain Over Me ft. Marc Anthony_pn.mp3,8A - Energy 7 - www.mediahuman.com,,-12.7 dB,7,8,0
goosebumps ft. Kendrick Lamar,Travis Scott,130,9A,,,,12/19/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs From Spotify\Songs From Spotify Fixed\Travis Scott - goosebumps ft. Kendrick Lamar_pn.mp3,9A - Energy 5 - www.mediahuman.com,,-12.9 dB,5,6,0
2 Step (Remix) (Intro Dirty),"Unk ft T-Pain, Jim Jones & E-40",154,8A,Hip Hop,,www.bpmsupreme.com,1/22/2022,"C:\Users\jaymo\Desktop\Dj Songs Unsorted\DJ Songs Unsorted Sound Fixed\Unk ft T-Pain, Jim Jones & E-40 - 2 Step (Remix) (Intro Dirty)_pn.mp3",8A - Energy 6,2007,-12.8 dB,6,8,0
IDGAF (Quick Hit Dirty),Dua Lipa,97,9B,Pop,,,1/22/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\DJ Songs Unsorted Sound Fixed\Dua Lipa - IDGAF (Quick Hit Dirty)_pn.mp3,9B - Energy 8,2018,-13.6 dB,8,8,0
You'll Be Mine,The Pierces,127,7A,,,,8/5/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs Fixed\The Pierces - You'll Be Mine_pn.mp3,7A - Energy 7 - www.mediahuman.com,,-13.4 dB,7,8,0
Cruel Summer (Quick Hit Clean),Ace Of Base,110,12A,Pop,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Ace Of Base - Cruel Summer (Quick Hit Clean)_pn.mp3,12A - Energy 7,1998,-12.8 dB,7,4,0
I See You ft. Billy Raffoul,Kygo,107,10A,Other,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Kygo - I See You ft. Billy Raffoul_pn.mp3,10A - Energy 4 - www.mediahuman.com,,-12.9 dB,4,8,0
Hot N*gga,Bobby Shmurda,84,7A,Other,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Bobby Shmurda - Hot N_gga_pn.mp3,7A - Energy 6 - www.mediahuman.com,,-13.3 dB,6,8,0
Everybody Have Fun Tonight,Wang Chung,129,9A,Other,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Wang Chung - Everybody Have Fun Tonight_pn.mp3,9A - Energy 7,,-13.4 dB,7,8,0
Cold As Ice (Lyrics),Ava Max,118,7A,,,,4/9/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs Fixed\Ava Max - Cold As Ice (Lyrics)_pn.mp3,7A - Energy 7 - www.mediahuman.com,,-12.9 dB,7,8,0
Nah Nah (Clean Extended),Carnage & Timmy Trumpet,150,4A,Hardstyle,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Carnage & Timmy Trumpet - Nah Nah (Clean Extended)_pn.mp3,4A - Energy 8,2019,-12.9 dB,8,8,0
Shooting Arrows At The Sky (From “The Hunger Games: Catching Fire” Soundtrack),Santigold,112,8A,,The Hunger Games: Catching Fire,,1/14/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs to Upload in Platinum Notes & Mixed In Key\Songs to upload fixed\Santigold - Shooting Arrows At The Sky (From “The Hunger Games_ Catching Fire” Soundtrack)_pn.mp3,8A - Energy 6 - www.mediahuman.com,2013,-13.0 dB,6,3,0
Fuck Faces,2Pac and Scarface,85,7A,Gangsta,2 Face,,1/22/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\DJ Songs Unsorted Sound Fixed\Scarface - Fuck Faces_pn.mp3,7A - Energy 6,2006,-13.6 dB,6,8,0
kill the thought,cehryl,85,2A,,kill the thought,,1/13/2024,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs Fixed\cehryl - kill the thought_pn.mp3,2A - Energy 4 - www.mediahuman.com,2023,-12.8 dB,4,8,0
El Que No Apoya (feat. Pitbull),"Tito el Bambino, Dj Adoni & Lenier",125,12A,,,,10/5/2024,"C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs Fixed\Tito el Bambino, Dj Adoni & Lenier - El Que No Apoya (feat. Pitbull)_pn.mp3",12A - Energy 6 - www.mediahuman.com,,-13.1 dB,6,8,0
Should've Said It (Audio),Camila Cabello,98,4A,,,,12/19/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs From Spotify\Songs From Spotify Fixed\Camila Cabello - Should've Said It (Audio)_pn.mp3,4A - Energy 7 - www.mediahuman.com,,-13.0 dB,7,8,0
The One,M.I.A.,148,3A,Other,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\M.I.A. - The One_pn.mp3,3A - Energy 5 - www.mediahuman.com,,-13.2 dB,5,8,0
Move Ya Body (Instrumental),Nina Sky ft Jabba,121,11A,R&B,,,1/22/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\DJ Songs Unsorted Sound Fixed\Nina Sky ft Jabba - Move Ya Body (Instrumental)_pn.mp3,11A - Energy 5,2004,-13.2 dB,5,8,0
Party Rock Anthem,"LMFAO ft. Lauren Bennett, GoonRock",130,4A,,,,12/19/2022,"C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs From Spotify\Songs From Spotify Fixed\LMFAO ft. Lauren Bennett, GoonRock - Party Rock Anthem_pn.mp3",4A - Energy 7 - www.mediahuman.com,,-12.7 dB,7,8,0
Let You Down : (),Sabishii,106,6A,,Let You Down :(,,12/19/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs From Spotify\Songs From Spotify Fixed\Sabishii - Let You Down _ ()_pn.mp3,6A - Energy 6 - www.mediahuman.com,2020,-13.5 dB,6,5,0
5 AM In Toronto (Intro Dirty),Drake,88,11A,Hip  Hop,,,1/22/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\DJ Songs Unsorted Sound Fixed\Drake - 5 AM In Toronto (Intro Dirty)_pn.mp3,"11A - Energy 6 - For Promotional Use Only By:
www.bpmsupreme.com",,-12.7 dB,6,8,0
Nolia Clap (Greatest Hits Version) [Explicit],UTP,80,4A,Rap & Hip-Hop,Rap-A-Lot Greatest Hits [Explicit],,1/22/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs From Old Hard Drive Sounds Fixed\UTP - Nolia Clap [Explicit]_pn.mp3,4A - Energy 7 - Amazon.com Song ID: 207901658,2008,-12.9 dB,7,8,0
Jonesboro,Young Thug,85,8A,,,,6/25/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs Fixed\Young Thug - Jonesboro_pn.mp3,8A - Energy 5 - www.mediahuman.com,,-13.0 dB,5,8,0
Me Fui de Vacaciones (360° Visualizer) | Un Verano Sin Ti,Bad Bunny,85,6B,,,,2/25/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\SAS LT\Bad Bunny - Me Fui de Vacaciones (360° Visualizer) _ Un Verano Sin Ti_pn.mp3,6B - Energy 5 - www.mediahuman.com,,-13.1 dB,5,8,0
If Your Girl Only Knew (Beat-A-Pella Mix) (Quick Hit Clean),Aaliyah ft Timbaland,88,8A,R&B,,,9/14/2024,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs Fixed\Aaliyah ft Timbaland - If Your Girl Only Knew (Beat-A-Pella Mix) (Quick Hit Clean)_pn.mp3,8A - Energy 6,1996,-13.4 dB,6,3,0
Take Care (Intro Dirty),Drake feat Rihanna,122,5A,Hip Hop,BPMsupreme.com,www.bpmsupreme.com,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Drake feat Rihanna - Take Care (Intro Dirty)_pn.mp3,5A - Energy 5 - www.bpmsupreme.com,,-13.1 dB,5,8,0
Record Player (DJcity Intro),Daisy The Great & AJR,148,10A,Pop,,,1/22/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\DJ Songs Unsorted Sound Fixed\Daisy The Great & AJR - Record Player (Intro)_pn.mp3,10A - Energy 6,2021,-13.6 dB,6,8,0
Back To You (Art Video),"Lost Frequencies, Elley Duhé, X Ambassadors",116,7A,,,,12/19/2022,"C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs From Spotify\Songs From Spotify Fixed\Lost Frequencies, Elley Duhé, X Ambassadors - Back To You (Art Video)_pn.mp3",7A - Energy 6 - www.mediahuman.com,,-13.0 dB,6,5,0
Set It Off,Juvenile,84,4A,,,,12/19/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs From Spotify\Songs From Spotify Fixed\Juvenile - Set It Off_pn.mp3,4A - Energy 5 - www.mediahuman.com,,-13.1 dB,5,8,0
ice ice ice (feat. NLE CHOPPA & Imanbek),Aarne,84,6A,,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs Fixed\Aarne - ice ice ice (feat. NLE CHOPPA & Imanbek)_pn.mp3,6A - Energy 6 - www.mediahuman.com,,-12.9 dB,6,8,0
Strangers (Intro Clean),Ashley Kutcher,103,5B,Pop,,,2/8/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\80's Songs From Hard Drive Sound Fixed\Ashley Kutcher - Strangers (Intro Clean)_pn.mp3,5B - Energy 7,2021,-12.8 dB,7,8,0
This Is Why I'm Hot (Intro Dirty),Mims,80,5A,Hip Hop,,www.bpmsupreme.com,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Mims - This Is Why I'm Hot (Intro Dirty)_pn.mp3,5A - Energy 5 - www.bpmsupreme.com,,-13.1 dB,5,8,0
Levels (Clean Extended),Avicii,126,12A,Progressive House,,,1/22/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\DJ Songs Unsorted Sound Fixed\Avicii - Levels (Clean Extended)_pn.mp3,12A - Energy 7,2011,-12.9 dB,7,8,0
Stereo,David Banner/Lil Wayne/Snoop Dogg/Akon,83,2A,Hip-Hop,,,1/22/2022,"C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs From Old Hard Drive Sounds Fixed\David Banner Ft Lil Wayne, Snoop Dogg, Akon - 9mm_pn.mp3",2A - Energy 6 - brodel34,2007,-13.1 dB,6,8,0
Safety Dance,Men without Hats,102,7B,Other,,,1/22/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\80's Songs From Hard Drive Sound Fixed\Men without Hats - Safety Dance_pn.mp3,7B - Energy 7,,-13.5 dB,7,5,0
