Title,Artist,BPM,Key,Genre,Album,Grouping,Date Added,Location,Comment,Year,Overall Volume,Energy,CuePoints,ClippedPeaks
Sweet Child O Mine (Intro Clean),Guns N Roses,127,2A,Rock,,,2/8/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\DJ Songs 2\Guns N Roses - Sweet Child O Mine (Intro Clean).mp3,2A - Energy 7,1987,-13.1 dB,7,8,0
Dear Mama (Intro Dirty),2Pac,84,2A,Hip Hop,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\2Pac - Dear Mama (Intro Dirty)_pn.mp3,2A - Energy 4,1995,-12.9 dB,4,7,0
3 Strikes,Terror Jr,80,7A,Other,3 Strikes,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Terror Jr - 3 Strikes_pn.mp3,7A - Energy 4 - www.mediahuman.com,2016,-12.9 dB,4,8,0
Double Cup (Intro Dirty),"DJ Infamous ft Young Jeezy, Ludacris, Juicy J, The Game, & Hitmaka",132,11A,Hip Hop,www.bpmsupreme.com,www.bpmsupreme.com,10/28/2023,"C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\DJ Infamous ft Young Jeezy, Ludacris, Juicy J, The Game, & Hitmaka - Double Cup (Intro Dirty)_pn.mp3",11A - Energy 7 - For Promotional Use Only By: www.bpmsupreme.com,,-12.7 dB,7,8,0
Hard In The Paint (Dirty),Waka Flocka Flame,143,3A,Hip Hop,,www.bpmsupreme.com,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Waka Flocka Flame - Hard In The Paint (Dirty)_pn.mp3,3A - Energy 6,,-12.8 dB,6,6,0
Sour Candy (Quick Hit Clean),Lady Gaga & BLACKPINK,120,8A,Pop,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Lady Gaga & BLACKPINK - Sour Candy (Quick Hit Clean)_pn.mp3,8A - Energy 7,2020,-12.7 dB,7,5,0
Case Of The Ex (Whatcha Gonna Do),Mya,98,12A,,Fear Of Flying,,4/28/2025,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs Fixed\Mya - Case Of The Ex (Whatcha Gonna Do)_pn.mp3,12A - Energy 6 - www.mediahuman.com,2000,-11.8 dB,6,8,0
Hotline Bling (Quick Hit Clean),Drake,135,7A,Hip Hop,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Drake - Hotline Bling (Quick Hit Clean)_pn.mp3,7A - Energy 6,2018,-12.7 dB,6,7,0
FRIENDS (Lyric Video) *OFFICIAL FRIENDZONE ANTHEM*,Marshmello & Anne-Marie,96,8A,Other,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Marshmello & Anne-Marie - FRIENDS (Lyric Video) _OFFICIAL FRIENDZONE ANTHEM__pn.mp3,8A - Energy 6 - www.mediahuman.com,,-12.9 dB,6,8,0
Buttons (Intro Clean),The Pussycat Dolls ft Snoop Dogg,105,8A,Pop,,,1/22/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\DJ Songs Unsorted Sound Fixed\The Pussycat Dolls ft Snoop Dogg - Buttons (Intro Clean)_pn.mp3,8A - Energy 5,2005,-12.9 dB,5,8,0
Ric Flair Drip (Intro Dirty),Offset & Metro Boomin,100,1A,Hip Hop,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Offset & Metro Boomin - Ric Flair Drip (Intro Dirty)_pn.mp3,1A - Energy 5,2017,-12.9 dB,5,8,0
London (video lyrics),Emma Peters,106,8A,,,,7/13/2024,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs Fixed\Emma Peters - London (video lyrics)_pn.mp3,8A - Energy 7 - www.mediahuman.com,,-12.9 dB,7,8,0
Californication (Quick Hit Clean),Red Hot Chili Peppers,95,8A,Rock,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Red Hot Chili Peppers - Californication (Quick Hit Clean)_pn.mp3,8A - Energy 6,1999,-12.7 dB,6,8,0
Thuggin Noise (Its Hemsworth Bitch Edit),A$AP Rocky,112,5B,Other,,,1/22/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\DJ Songs Unsorted Sound Fixed\A$AP Rocky - Thuggin Noise (Its Hemsworth Bitch Edit)_pn.mp3,5B - Energy 5,,-13.3 dB,5,6,0
Run This Town (Instrumental),Jay-Z ft Rihanna & Kanye West,85,5A,Hip Hop,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Jay-Z ft Rihanna & Kanye West - Run This Town (Instrumental)_pn.mp3,5A - Energy 6,2009,-13.1 dB,6,8,0
Save A Prayer (Intro Clean),Duran Duran,114,10B,Alternative,,,1/22/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\DJ Songs Unsorted Sound Fixed\Duran Duran - Save A Prayer (Intro Clean)_pn.mp3,10B - Energy 6,1982,-13.0 dB,6,8,0
Livin' On A Prayer (DeepDelic & Raphael Siqueira Remix),Bon Jovi,125,9A,,,,3/25/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs Fixed\Bon Jovi - Livin' On A Prayer (DeepDelic & Raphael Siqueira Remix)_pn.mp3,9A - Energy 7 - www.mediahuman.com,,-12.9 dB,7,8,0
Come Undone,Duran Duran,87,5A,Other,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\80's Songs From Hard Drive (Backup)\Duran Duran - Come Undone 1.mp3,5A - Energy 7,,-14.0 dB,7,4,54
